type,id,time,travelTime,carsInSegment,score
match,'003002,1267985514.752,69.768,3,0.04
match,'003002,1267985516.944,68.185,1,0.02
match,'003002,1267985518.784,66.181,0,0.10
match,'002001,1267985523.945,47.664,7,0.10
match,'002001,1267985528.195,35.321,5,0.10
match,'002001,1267985537.584,20.640,1,0.25
match,'003002,1267985596.421,56.265,11,0.16
match,'003002,1267985606.902,56.276,10,0.29
match,'002001,1267985613.394,16.973,2,0.20
match,'002001,1267985633.257,22.328,1,0.16
match,'003002,1267985633.382,74.796,6,0.28
match,'003002,1267985647.519,71.005,8,0.27
match,'003002,1267985672.733,77.857,9,0.09
match,'003002,1267985687.800,52.815,8,0.08
match,'003002,1267985706.523,62.178,6,0.09
match,'003002,1267985710.534,64.158,5,0.14
match,'002001,1267985716.410,38.497,4,0.25
match,'002001,1267985729.717,19.183,0,0.24
match,'003002,1267985790.964,140.041,6,0.16
match,'002001,1267985829.828,76.926,6,0.22
match,'002001,1267985867.500,111.172,9,0.17
match,'003002,1267985891.082,238.613,16,0.28
match,'003002,1267985903.526,243.821,18,0.09
match,'002001,1267985907.656,32.841,5,0.25
match,'003002,1267985910.257,68.193,10,0.12
match,'002001,1267985911.406,17.611,3,0.27
match,'003002,1267985997.213,143.893,13,0.26
match,'003002,1267985999.963,126.095,12,0.20
match,'003002,1267986002.991,118.325,11,0.20
match,'003002,1267986004.839,118.400,10,0.11
match,'003002,1267986008.022,104.466,7,0.17
match,'002001,1267986014.226,61.672,9,0.17
match,'003002,1267986083.203,129.131,9,0.13
match,'003002,1267986088.600,107.114,8,0.24
match,'002001,1267986091.827,102.347,19,0.25
match,'003002,1267986093.488,65.346,5,0.18
match,'003002,1267986105.394,61.474,0,0.05
match,'002001,1267986126.850,43.647,6,0.18
match,'002001,1267986129.272,43.922,5,0.21
match,'002001,1267986134.144,41.894,2,0.26
match,'003002,1267986180.207,62.379,9,0.10
match,'003002,1267986186.039,61.506,7,0.03
match,'003002,1267986199.238,70.495,8,0.14
match,'002001,1267986217.515,31.476,1,0.11
match,'003002,1267986237.276,94.470,4,0.09
match,'003002,1267986241.289,96.038,6,0.12
match,'003002,1267986262.484,22.250,3,0.13
match,'002001,1267986312.367,71.078,7,0.11
match,'002001,1267986314.834,71.717,6,0.07
match,'002001,1267986316.734,63.466,5,0.19
match,'002001,1267986319.792,43.512,3,0.27
match,'003002,1267986324.776,81.579,6,0.21
match,'003002,1267986386.390,74.740,11,0.13
match,'003002,1267986388.811,67.161,10,0.21
match,'003002,1267986399.062,71.084,10,0.08
match,'002001,1267986425.070,26.008,0,0.16
match,'003002,1267986433.148,101.850,11,0.16
match,'003002,1267986436.277,96.822,9,0.23
match,'003002,1267986437.745,95.106,9,0.24
match,'003002,1267986439.667,13.339,2,0.15
match,'003002,1267986491.140,63.553,3,0.27
match,'003002,1267986495.963,58.925,2,0.05
match,'003002,1267986498.471,57.930,1,0.10
match,'002001,1267986499.582,63.305,9,0.22
match,'002001,1267986501.042,63.297,8,0.28
match,'002001,1267986507.718,28.782,6,0.20
match,'002001,1267986512.003,20.863,3,0.23
match,'002001,1267986514.030,20.359,2,0.21
match,'002001,1267986515.795,19.832,1,0.16
match,'003002,1267986519.526,33.713,0,0.24
match,'003002,1267986677.269,56.581,12,0.16
match,'003002,1267986687.377,64.308,11,0.14
match,'003002,1267986689.304,60.006,8,0.03
match,'003002,1267986692.760,61.916,7,0.06
match,'003002,1267986784.980,118.521,9,0.08
match,'002001,1267986788.983,13.534,5,0.16
match,'003002,1267986789.031,117.032,7,0.10
match,'002001,1267986808.272,29.089,5,0.21
match,'002001,1267986813.795,21.995,0,0.10
match,'003002,1267986826.221,102.158,10,0.10
match,'003002,1267986827.866,99.255,9,0.11
match,'003002,1267986886.936,106.068,8,0.16
match,'003002,1267986888.893,81.720,7,0.27
match,'003002,1267986890.393,73.384,5,0.19
match,'003002,1267986892.959,66.598,3,0.13
match,'002001,1267986898.819,72.598,11,0.15
match,'002001,1267986902.511,39.664,6,0.18
match,'003002,1267986954.355,75.215,6,0.19
match,'002001,1267987004.410,117.474,11,0.15
match,'002001,1267987013.823,76.156,5,0.03
match,'003002,1267987059.557,125.183,19,0.24
match,'003002,1267987063.948,89.019,16,0.11
match,'003002,1267987068.914,79.116,11,0.23
match,'003002,1267987074.789,66.311,10,0.26
match,'003002,1267987085.125,65.303,9,0.05
match,'002001,1267987086.362,73.848,13,0.17
match,'002001,1267987088.429,63.883,12,0.18
match,'002001,1267987090.300,50.188,11,0.12
match,'002001,1267987094.006,42.453,9,0.10
